Original_Filename,Anonymized_Filename,Condition,GitHub_URL
0005_house_n03118969_17692_conf0.987808.JPEG,065bfeed.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/065bfeed.JPEG
0005_house_n03544360_2980_conf0.991858.JPEG,ce5a2965.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/ce5a2965.JPEG
0009_car_n02960352_1512_conf0.999930.JPEG,54219931.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/54219931.JPEG
0009_car_n03079136_20466_conf0.999753.JPEG,a333cf5e.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/a333cf5e.JPEG
0009_car_n03079136_22002_conf0.999973.JPEG,61a7320d.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/61a7320d.JPEG
0009_car_n03268790_187_conf0.998684.JPEG,d7a8f765.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/d7a8f765.JPEG
0009_car_n03828020_3809_conf0.997630.JPEG,6ad10656.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/6ad10656.JPEG
0009_car_n04285008_514_conf0.999237.JPEG,6ed2e7f3.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/6ed2e7f3.JPEG
0009_car_n04285008_5897_conf0.999988.JPEG,b55d1959.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/b55d1959.JPEG
0009_car_n04516354_1457_conf0.999927.JPEG,86569718.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/86569718.JPEG
0027_bed_n02818832_5895_conf0.995826.JPEG,14c0bcc5.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/14c0bcc5.JPEG
0027_bed_n02818832_9520_conf0.995277.JPEG,f7629e9e.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/f7629e9e.JPEG
0027_bed_n03799876_6853_conf0.988367.JPEG,07fe3ef1.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/07fe3ef1.JPEG
0027_bed_n04236809_3633_conf0.998014.JPEG,5b8916b7.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/5b8916b7.JPEG
0039_dog_n02085374_10280_conf0.996912.JPEG,3ac79c9d.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/3ac79c9d.JPEG
0039_dog_n02085374_2696_conf0.991626.JPEG,74d1ad0c.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/74d1ad0c.JPEG
0045_ball_n02779435_17331_conf0.998588.JPEG,34526806.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/34526806.JPEG
0045_ball_n03982232_4214_conf0.999999.JPEG,03a785d8.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/03a785d8.JPEG
0047_fire_n03343560_12214_conf0.991463.JPEG,42604676.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/42604676.JPEG
0047_fire_n10091450_7703_conf0.999699.JPEG,65a12bed.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/65a12bed.JPEG
0047_fire_n10091564_7458_conf0.985483.JPEG,00ceb9fc.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/00ceb9fc.JPEG
0050_horse_n02379430_2538_conf0.996777.JPEG,3add48a1.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/3add48a1.JPEG
0051_city_n08524735_25625_conf0.995462.JPEG,1a411833.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/1a411833.JPEG
0051_city_n08524735_29017_conf0.993732.JPEG,c820e6c3.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/c820e6c3.JPEG
0061_boat_n02858304_10401_conf0.984338.JPEG,ce83972a.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/ce83972a.JPEG
0071_camera_n02884994_4488_conf0.999870.JPEG,340f48ed.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/340f48ed.JPEG
0071_camera_n02884994_4953_conf0.988625.JPEG,da47a589.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/da47a589.JPEG
0071_camera_n02884994_751_conf0.999982.JPEG,cfef516b.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/cfef516b.JPEG
0071_camera_n02942699_11878_conf0.999159.JPEG,5b49e980.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/5b49e980.JPEG
0071_camera_n02942699_17098_conf0.999572.JPEG,a496ff25.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/a496ff25.JPEG
0071_camera_n02947977_2147_conf0.999993.JPEG,955c8ade.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/955c8ade.JPEG
0071_camera_n03196062_4424_conf0.988330.JPEG,39729a70.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/39729a70.JPEG
0076_cup_n03216710_2535_conf0.988902.JPEG,18a7a2ff.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/18a7a2ff.JPEG
0077_ship_n03095699_13680_conf0.999933.JPEG,02e0e110.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/02e0e110.JPEG
0077_ship_n03095699_21056_conf0.999830.JPEG,bf7033f0.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/bf7033f0.JPEG
0077_ship_n03095699_2769_conf0.999059.JPEG,0016a007.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/0016a007.JPEG
0077_ship_n03673027_10498_conf0.999675.JPEG,bf678dfb.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/bf678dfb.JPEG
0077_ship_n03673027_28419_conf0.983837.JPEG,d444d248.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/d444d248.JPEG
0077_ship_n03673027_9534_conf0.990442.JPEG,505f6a21.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/505f6a21.JPEG
0077_ship_n03896103_3067_conf0.995739.JPEG,87f81841.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/87f81841.JPEG
0082_kitchen_bing_kitchen_0156_conf0.997462.jpg,48e514c4.jpg,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/48e514c4.jpg
0082_kitchen_n03619890_21018_conf0.992966.JPEG,44bed865.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/44bed865.JPEG
0083_key_n03561047_2439_conf0.997525.JPEG,732b952a.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/732b952a.JPEG
0083_key_n04226826_8770_conf0.996578.JPEG,7f4c4f7a.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/7f4c4f7a.JPEG
0089_bus_n02924116_1345_conf0.995733.JPEG,def7a758.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/def7a758.JPEG
0089_bus_n02924116_44909_conf0.980171.JPEG,c069da01.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/c069da01.JPEG
0089_bus_n04212165_1359_conf0.997790.JPEG,4e99037d.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/4e99037d.JPEG
0089_bus_n04212165_4507_conf0.999963.JPEG,9ea3c176.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/9ea3c176.JPEG
0089_bus_n04487081_23038_conf0.999067.JPEG,2446f571.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/2446f571.JPEG
0089_bus_n04487081_5899_conf0.999680.JPEG,4eba8e78.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/4eba8e78.JPEG
0091_bridge_n02898711_4100_conf0.997916.JPEG,f034cb68.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/f034cb68.JPEG
0091_bridge_n02953197_2227_conf0.987360.JPEG,f1d549b1.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/f1d549b1.JPEG
0091_bridge_n04311004_2264_conf0.999793.JPEG,b0dda78f.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/b0dda78f.JPEG
0091_bridge_n04492749_6056_conf0.999999.JPEG,f557aa2c.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/f557aa2c.JPEG
0093_pizza_n03952576_10081_conf0.996039.JPEG,718c6a84.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/718c6a84.JPEG
0093_pizza_n03952576_4124_conf0.999216.JPEG,3ef5acaa.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/3ef5acaa.JPEG
0093_pizza_n07873807_10202_conf0.999979.JPEG,f409ad2d.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/f409ad2d.JPEG
0093_pizza_n07873807_11752_conf0.999876.JPEG,6df56eb7.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/6df56eb7.JPEG
0093_pizza_n07873807_4354_conf0.997827.JPEG,aece51c7.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/aece51c7.JPEG
0093_pizza_n07874259_3887_conf0.998830.JPEG,8a45be9d.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/8a45be9d.JPEG
0093_pizza_n07874343_1910_conf0.999905.JPEG,a29f09e1.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/a29f09e1.JPEG
0093_pizza_n07874343_3698_conf0.991170.JPEG,3e63da12.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/3e63da12.JPEG
0093_pizza_n07874343_4637_conf0.998187.JPEG,187c2d96.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/187c2d96.JPEG
0093_pizza_n07874343_879_conf0.994282.JPEG,16c92a8b.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/16c92a8b.JPEG
0094_computer_n03180011_6021_conf0.991924.JPEG,af672e02.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/af672e02.JPEG
0094_computer_n03918480_20865_conf0.983836.JPEG,4148e255.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/4148e255.JPEG
0094_computer_n03918480_29366_conf0.980988.JPEG,ede09e07.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/ede09e07.JPEG
0097_church_n02667576_5509_conf0.995001.JPEG,82554724.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/82554724.JPEG
0097_church_n02801184_11627_conf0.981598.JPEG,c36dc3f8.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/c36dc3f8.JPEG
0111_doll_n03219135_9146_conf0.988967.JPEG,c613ab8a.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/c613ab8a.JPEG
0111_doll_n03447358_258_conf0.992723.JPEG,96230dfb.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/96230dfb.JPEG
0111_doll_n03607029_6874_conf0.981312.JPEG,a0b6c2b4.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/a0b6c2b4.JPEG
0112_bell_n03028596_1902_conf0.991720.JPEG,251f0baf.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/251f0baf.JPEG
0112_bell_n03028596_2818_conf0.997920.JPEG,8744a836.JPEG,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/8744a836.JPEG
0114_stairs_bing_stairs_0031_conf0.999861.jpg,3891b19c.jpg,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/3891b19c.jpg
0117_ring_bing_ring_0008_conf0.992389.jpg,c0e2364a.jpg,visual_complex,https://mmarcantoinee.github.io/survey-mit-spring-2026/images/renamed/visual_complex/c0e2364a.jpg
